City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
12,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
14,Biloxi,US,75.2,mist,30.396,-88.8853,IP Casino Resort Spa
23,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
28,Victoria,HK,81.03,broken clouds,22.2855,114.1577,Mini Hotel Central
31,Sao Jose Da Coroa Grande,BR,76.41,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
36,Ladario,BR,76.28,overcast clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
40,Angoche,MZ,77.61,light rain,-16.2325,39.9086,Guest House HESADA
41,Kovur,IN,78.19,overcast clouds,14.4833,79.9833,Hotel Yesh Park
45,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
59,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
61,Kavaratti,IN,79.34,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
62,San Carlos Del Zulia,VE,78.13,overcast clouds,9.0,-71.9135,Hotel El Manantial
63,Sur,OM,76.14,clear sky,22.5667,59.5289,Sur Plaza Hotel
64,Mahibadhoo,MV,80.31,broken clouds,3.7833,72.9667,Omadhoo Inn
72,Araripe,BR,75.13,broken clouds,-7.2125,-40.0461,
76,La Palma,US,82.99,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
77,Joao Pessoa,BR,77.23,few clouds,-7.115,-34.8631,Lagos Empreendimentos Ltda.
85,Batticaloa,LK,80.2,overcast clouds,7.7102,81.6924,Grand Star Guest House
91,Bahia Blanca,AR,77.59,overcast clouds,-38.7196,-62.2724,Hotel Argos
96,Teshie,GH,79.36,light rain,5.5836,-0.1072,Adinkra Lodge
101,Yenagoa,NG,75.29,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
104,Boa Vista,BR,80.58,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
110,Kudahuvadhoo,MV,81.41,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
114,Bilma,NE,77.67,clear sky,18.6853,12.9164,Expeditions Ténére voyages
116,Hithadhoo,MV,82.72,broken clouds,-0.6,73.0833,Scoop Guest House
120,Lahij,YE,75.15,clear sky,13.1667,44.5833,
130,Aswan,EG,77.67,clear sky,24.0934,32.907,Nuba Nile
131,Arlit,NE,80.28,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
133,Cockburn Town,TC,82.58,few clouds,21.4612,-71.1419,Osprey Beach Hotel
139,Road Town,VG,82.49,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
143,Eyl,SO,76.71,clear sky,7.9803,49.8164,Amiin Hotel
145,Sao Filipe,CV,78.82,overcast clouds,14.8961,-24.4956,Hotel Xaguate
147,Trincomalee,LK,78.91,overcast clouds,8.5711,81.2335,Welcombe Hotel
