City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Erice,IT,38.037,12.5865,55.76,94,20,1.14,few clouds
1,Cape Town,ZA,-33.9258,18.4232,62.11,88,40,11.5,scattered clouds
2,Saint-Philippe,RE,-21.3585,55.7679,71.15,77,15,6.22,few clouds
3,Coihaique,CL,-45.5752,-72.0662,55.35,54,0,4.61,clear sky
4,Hamilton,US,39.1834,-84.5333,50.99,84,90,1.01,overcast clouds
5,Calama,CL,-22.4667,-68.9333,55.89,18,0,1.14,clear sky
6,Chuy,UY,-33.6971,-53.4616,64.69,81,0,6.22,clear sky
7,Ushuaia,AR,-54.8,-68.3,47.86,49,0,3.44,clear sky
8,Mehran,IR,33.1222,46.1646,62.08,23,4,4.76,clear sky
9,Silifke,TR,36.3778,33.9344,69.17,56,99,6.31,overcast clouds
10,Morogoro,TZ,-6.8167,37.6667,69.98,88,20,0.0,few clouds
11,Quelimane,MZ,-17.8786,36.8883,72.97,79,84,7.4,light rain
12,Georgetown,MY,5.4112,100.3354,84.88,84,20,5.75,few clouds
13,Souillac,MU,-20.5167,57.5167,70.36,88,20,5.75,few clouds
14,Biloxi,US,30.396,-88.8853,75.2,94,90,14.97,mist
15,Ryazhsk,RU,53.7038,40.1109,39.58,84,100,9.44,overcast clouds
16,Tukrah,LY,32.5341,20.5791,68.41,85,3,7.74,clear sky
17,Port Alfred,ZA,-33.5906,26.891,66.87,83,100,26.4,overcast clouds
18,Masuguru,TZ,-11.3667,38.4167,74.75,74,24,4.32,few clouds
19,Viedma,AR,-40.8135,-62.9967,64.4,36,77,14.74,broken clouds
20,Coquimbo,CL,-29.9533,-71.3436,55.13,87,0,3.44,clear sky
21,Tasiilaq,GL,65.6145,-37.6368,32.16,70,25,7.11,scattered clouds
22,Asyut,EG,27.181,31.1837,69.98,29,51,1.92,broken clouds
23,Bathsheba,BB,13.2167,-59.5167,81.21,74,20,13.8,few clouds
24,Port Elizabeth,ZA,-33.918,25.5701,62.89,94,100,9.22,overcast clouds
25,Zhanaozen,KZ,43.3,52.8,35.92,52,0,8.9,clear sky
26,Mar Del Plata,AR,-38.0023,-57.5575,65.88,85,0,18.01,clear sky
27,Lerwick,GB,60.1545,-1.1494,51.8,90,100,8.1,overcast clouds
28,Victoria,HK,22.2855,114.1577,81.03,79,64,1.99,broken clouds
29,Meybod,IR,32.2501,54.0166,50.02,45,0,7.74,clear sky
30,Bredasdorp,ZA,-34.5322,20.0403,61.92,94,68,1.14,broken clouds
31,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.41,79,2,8.59,clear sky
32,Lagoa,PT,39.05,-27.9833,66.9,76,100,26.51,overcast clouds
33,Asfi,MA,32.2994,-9.2372,64.65,84,0,7.05,clear sky
34,Visavadar,IN,21.3833,70.6833,74.1,55,1,6.96,clear sky
35,Riyadh,SA,24.6877,46.7219,71.74,22,75,11.21,broken clouds
36,Ladario,BR,-19.0047,-57.6017,76.28,79,92,3.31,overcast clouds
37,Saint-Honore,CA,48.5334,-71.0824,36.72,93,4,2.3,clear sky
38,East London,ZA,-33.0153,27.9116,66.78,82,100,20.11,overcast clouds
39,Adrar,MR,20.5022,-10.0711,70.43,55,79,7.27,broken clouds
40,Angoche,MZ,-16.2325,39.9086,77.61,74,96,15.79,light rain
41,Kovur,IN,14.4833,79.9833,78.19,64,97,9.95,overcast clouds
42,Bredy,RU,52.4153,60.3411,31.78,63,98,18.54,overcast clouds
43,Clyde River,CA,70.4692,-68.5914,26.8,83,100,3.4,overcast clouds
44,Kurchum,KZ,48.5722,83.6542,45.79,66,99,1.7,overcast clouds
45,Olinda,BR,-8.0089,-34.8553,78.53,78,75,11.5,broken clouds
46,Castro,BR,-24.7911,-50.0119,61.32,96,100,7.76,overcast clouds
47,Saurimo,AO,-9.6608,20.3916,63.32,95,48,3.8,light rain
48,Ibra,OM,22.6906,58.5334,73.47,65,98,5.35,overcast clouds
49,Mahebourg,MU,-20.4081,57.7,70.25,88,20,5.75,few clouds
50,Ancud,CL,-41.8697,-73.8203,51.33,92,2,3.69,clear sky
51,Bambous Virieux,MU,-20.3428,57.7575,70.21,88,20,5.75,few clouds
52,Srivardhan,IN,18.0333,73.0167,73.98,62,20,6.33,few clouds
53,Morales,CO,2.757,-76.6172,61.45,97,98,0.49,overcast clouds
54,Saldanha,ZA,-33.0117,17.9442,60.85,96,59,9.53,light rain
55,Punta Arenas,CL,-53.15,-70.9167,46.51,66,0,10.36,clear sky
56,Muros,ES,42.7762,-9.0603,60.84,83,37,8.19,scattered clouds
57,Talara,PE,-4.5772,-81.2719,65.23,89,100,16.28,overcast clouds
58,Dikson,RU,73.5069,80.5464,3.13,97,47,6.04,scattered clouds
59,Vila Velha,BR,-20.3297,-40.2925,75.15,88,75,4.61,broken clouds
60,Sambava,MG,-14.2667,50.1667,70.45,91,13,2.39,few clouds
61,Kavaratti,IN,10.5669,72.642,79.34,79,100,2.57,overcast clouds
62,San Carlos Del Zulia,VE,9.0,-71.9135,78.13,87,100,3.31,overcast clouds
63,Sur,OM,22.5667,59.5289,76.14,69,0,6.62,clear sky
64,Mahibadhoo,MV,3.7833,72.9667,80.31,79,83,8.01,broken clouds
65,Balkanabat,TM,39.5108,54.3671,45.34,73,0,5.28,clear sky
66,Baoro,CF,5.6667,15.9667,67.33,96,90,0.31,light rain
67,Ribeira Grande,PT,38.5167,-28.7,68.4,74,100,20.78,overcast clouds
68,Ilulissat,GL,69.2167,-51.1,15.82,57,79,5.75,broken clouds
69,Hermanus,ZA,-34.4187,19.2345,60.91,93,18,2.42,few clouds
70,Karatau,KZ,43.1667,70.4667,45.55,63,100,1.3,overcast clouds
71,Stulovo,RU,58.7225,50.1439,35.6,97,100,10.18,overcast clouds
72,Araripe,BR,-7.2125,-40.0461,75.13,56,54,11.45,broken clouds
73,Busselton,AU,-33.65,115.3333,53.04,51,95,9.19,overcast clouds
74,Jamestown,US,42.097,-79.2353,46.04,94,1,1.99,clear sky
75,Tuskegee,US,32.424,-85.6916,65.55,100,100,1.99,overcast clouds
76,La Palma,US,33.8464,-118.0467,82.99,43,1,1.01,clear sky
77,Joao Pessoa,BR,-7.115,-34.8631,77.23,83,20,6.91,few clouds
78,Saint George,US,37.1041,-113.5841,63.36,46,1,4.61,clear sky
79,Vardo,NO,70.3705,31.1107,34.48,54,100,14.88,overcast clouds
80,Olavarria,AR,-36.8927,-60.3225,70.05,53,85,9.33,overcast clouds
81,Gebre Guracha,ET,9.8,38.4,52.16,57,83,2.8,broken clouds
82,Saint Anthony,US,45.0205,-93.218,54.55,70,90,3.0,overcast clouds
83,Salalah,OM,17.0151,54.0924,71.69,53,0,2.3,clear sky
84,Urucara,BR,-2.5364,-57.76,73.96,97,100,2.28,light rain
85,Batticaloa,LK,7.7102,81.6924,80.2,77,99,11.32,overcast clouds
86,Dharchula,IN,29.85,80.5333,56.93,42,0,6.29,clear sky
87,South Milwaukee,US,42.9106,-87.8606,52.95,79,75,17.27,broken clouds
88,Koslan,RU,63.4564,48.8989,29.91,94,100,11.12,light snow
89,Iqaluit,CA,63.7506,-68.5145,28.13,92,75,0.0,broken clouds
90,Gazli,UZ,40.1333,63.45,44.51,72,100,7.7,overcast clouds
91,Bahia Blanca,AR,-38.7196,-62.2724,77.59,26,88,10.45,overcast clouds
92,Voka,EE,59.3997,27.5817,46.69,86,100,18.57,overcast clouds
93,Kewanee,US,41.2456,-89.9248,53.78,63,100,13.76,overcast clouds
94,Koygorodok,RU,60.445,50.9968,33.39,98,100,7.63,overcast clouds
95,Arraial Do Cabo,BR,-22.9661,-42.0278,71.98,91,99,14.07,overcast clouds
96,Teshie,GH,5.5836,-0.1072,79.36,89,0,3.44,light rain
97,Nizwa,OM,22.9333,57.5333,72.25,77,55,3.91,broken clouds
98,Shahreza,IR,32.0339,51.8794,44.04,48,0,5.19,clear sky
99,Ponta Do Sol,PT,32.6667,-17.1,68.72,66,15,2.64,few clouds
100,Taltal,CL,-25.4,-70.4833,63.95,64,15,2.46,few clouds
101,Yenagoa,NG,4.9247,6.2642,75.29,94,74,2.82,broken clouds
102,Bogalusa,US,30.791,-89.8487,72.79,88,90,4.61,overcast clouds
103,Gornopravdinsk,RU,60.05,69.9,29.71,96,100,10.04,light snow
104,Boa Vista,BR,2.8197,-60.6733,80.58,74,20,5.75,few clouds
105,Nanortalik,GL,60.1432,-45.2371,33.87,65,41,4.34,scattered clouds
106,Torbay,CA,47.6666,-52.7314,39.58,88,75,10.36,broken clouds
107,Covington,US,39.0837,-84.5086,51.48,85,90,6.91,overcast clouds
108,Appleton,US,44.2619,-88.4154,50.36,79,90,4.0,overcast clouds
109,Kruisfontein,ZA,-34.0033,24.7314,63.55,86,100,5.7,overcast clouds
110,Kudahuvadhoo,MV,2.6708,72.8944,81.41,76,58,9.86,broken clouds
111,Luderitz,NA,-26.6481,15.1594,65.68,62,96,2.55,overcast clouds
112,Nuuk,GL,64.1835,-51.7216,30.81,74,20,6.91,few clouds
