City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,The Valley,AI,2021-10-23 00:58:54,18.217,-63.0578,301.54,68,5,9.69
1,Alice Springs,AU,2021-10-23 00:58:54,-23.7,133.8833,298.9,27,0,7.2
2,Atuona,PF,2021-10-23 00:58:55,-9.8,-139.0333,298.65,79,23,7.46
3,Saint-Philippe,RE,2021-10-23 00:58:55,-21.3585,55.7679,295.9,81,33,3.57
4,Mataura,NZ,2021-10-23 00:58:55,-46.1927,168.8643,295.2,40,99,0.42
5,Visnes,NO,2021-10-23 00:58:56,59.3556,5.2242,281.25,71,40,9.26
6,Ushuaia,AR,2021-10-23 00:58:56,-54.8,-68.3,278.96,70,20,3.6
7,Lorengau,PG,2021-10-23 00:58:56,-2.0226,147.2712,302.86,67,58,3.66
8,Quatre Cocos,MU,2021-10-23 00:58:57,-20.2078,57.7625,295.42,85,38,6.3
9,Klyuchi,RU,2021-10-23 00:58:57,52.2667,79.1667,276.79,55,89,8.57
10,Haines Junction,CA,2021-10-23 00:58:58,60.7522,-137.5108,277.12,81,100,0.51
11,Hofn,IS,2021-10-23 00:58:58,64.2539,-15.2082,281.29,98,100,6.7
12,Hobart,AU,2021-10-23 00:54:20,-42.8794,147.3294,286.49,93,75,5.14
13,Khatanga,RU,2021-10-23 00:58:59,71.9667,102.5,255.53,96,96,4.42
14,Busselton,AU,2021-10-23 00:58:59,-33.65,115.3333,289.84,59,0,2.19
15,Dikson,RU,2021-10-23 00:58:59,73.5069,80.5464,263.02,87,100,7.41
16,Mumford,GH,2021-10-23 00:59:00,5.2618,-0.759,298.34,88,82,3.58
17,Honiara,SB,2021-10-23 00:59:00,-9.4333,159.95,304.48,58,2,3.48
18,Bluff,NZ,2021-10-23 00:59:00,-46.6,168.3333,287.09,65,99,4.26
19,Rikitea,PF,2021-10-23 00:59:01,-23.1203,-134.9692,296.54,82,11,9.29
20,Le Moule,GP,2021-10-23 00:59:01,16.3332,-61.3473,299.92,100,1,1.79
21,Georgetown,MY,2021-10-23 00:59:01,5.4112,100.3354,300.87,88,20,1.34
22,Plettenberg Bay,ZA,2021-10-23 00:59:02,-34.0527,23.3716,289.2,67,100,2.81
23,Saskylakh,RU,2021-10-23 00:59:02,71.9167,114.0833,248.33,100,87,1.24
24,Bredasdorp,ZA,2021-10-23 00:59:02,-34.5322,20.0403,286.77,82,100,7.2
25,Jamestown,US,2021-10-23 00:56:48,42.097,-79.2353,281.09,82,100,0.6
26,Port Hawkesbury,CA,2021-10-23 00:59:03,45.6169,-61.3485,292.36,91,90,1.79
27,Atar,MR,2021-10-23 00:59:03,20.5169,-13.0499,298.24,21,100,2.56
28,Kozhva,RU,2021-10-23 00:59:04,65.1073,57.0459,274.98,98,100,4.64
29,Stokmarknes,NO,2021-10-23 00:59:04,68.5646,14.9108,274.54,50,100,0.65
30,Punta Arenas,CL,2021-10-23 00:59:04,-53.15,-70.9167,277.21,81,20,11.83
31,Lagoa,PT,2021-10-23 00:59:05,39.05,-27.9833,293.29,85,55,6.13
32,Esperance,AU,2021-10-23 00:59:05,-33.8667,121.9,289.06,57,6,3.18
33,Hilo,US,2021-10-23 00:59:05,19.7297,-155.09,300.0,75,90,5.14
34,Lavrentiya,RU,2021-10-23 00:59:06,65.5833,-171.0,268.86,82,100,5.79
35,Xining,CN,2021-10-23 00:59:06,36.6167,101.7667,278.7,72,40,0.78
36,Cape Town,ZA,2021-10-23 00:57:44,-33.9258,18.4232,287.64,86,75,2.68
37,Coolum Beach,AU,2021-10-23 00:59:07,-26.5333,153.1,301.12,82,30,3.98
38,Kapaa,US,2021-10-23 00:59:07,22.0752,-159.319,301.14,79,14,1.79
39,Shanghai,CN,2021-10-23 00:59:07,31.2222,121.4581,293.67,54,0,3.0
40,Talnakh,RU,2021-10-23 00:59:08,69.4865,88.3972,269.43,97,100,3.5
41,Barrow,US,2021-10-23 00:59:08,71.2906,-156.7887,272.16,86,90,4.12
42,Cayambe,EC,2021-10-23 00:59:09,0.05,-78.1333,283.74,94,97,0.65
43,Kodiak,US,2021-10-23 00:59:09,57.79,-152.4072,278.45,75,100,5.42
44,Labuhan,ID,2021-10-23 00:59:09,-6.8844,112.2051,302.37,65,74,1.95
45,Jesus Carranza,MX,2021-10-23 00:59:10,17.4333,-95.0333,295.81,97,100,1.48
46,Tucumcari,US,2021-10-23 00:59:10,35.1717,-103.725,294.23,17,39,4.05
47,Clyde River,CA,2021-10-23 00:59:10,70.4692,-68.5914,267.04,75,100,2.78
48,Hithadhoo,MV,2021-10-23 00:59:11,-0.6,73.0833,300.94,73,100,5.15
49,Richards Bay,ZA,2021-10-23 00:59:11,-28.783,32.0377,292.74,88,5,1.72
50,Ribeira Grande,PT,2021-10-23 00:59:11,38.5167,-28.7,293.98,84,10,4.34
51,Saldanha,ZA,2021-10-23 00:59:12,-33.0117,17.9442,286.18,88,100,10.2
52,Ilulissat,GL,2021-10-23 00:59:12,69.2167,-51.1,257.45,74,97,3.64
53,Puerto Ayora,EC,2021-10-23 00:59:12,-0.7393,-90.3518,294.23,86,24,3.71
54,Castro,BR,2021-10-23 00:59:13,-24.7911,-50.0119,286.59,79,0,1.66
55,Sahuaripa,MX,2021-10-23 00:59:13,29.05,-109.2333,299.24,25,40,2.54
56,Westport,US,2021-10-23 00:59:14,41.1415,-73.3579,290.9,79,96,2.24
57,Arraial Do Cabo,BR,2021-10-23 00:59:14,-22.9661,-42.0278,294.13,88,40,3.09
58,Marsa Matruh,EG,2021-10-23 00:59:15,31.3525,27.2453,291.26,63,40,1.54
59,Luderitz,NA,2021-10-23 00:59:15,-26.6481,15.1594,285.97,87,0,3.37
60,Tuktoyaktuk,CA,2021-10-23 00:59:15,69.4541,-133.0374,274.15,93,75,5.66
61,Cidreira,BR,2021-10-23 00:59:16,-30.1811,-50.2056,291.72,87,1,4.36
62,Port Elizabeth,ZA,2021-10-23 00:59:16,-33.918,25.5701,289.31,67,0,1.54
63,Kudahuvadhoo,MV,2021-10-23 00:59:16,2.6708,72.8944,301.04,70,16,5.25
64,Tasiilaq,GL,2021-10-23 00:59:17,65.6145,-37.6368,270.93,91,100,4.39
65,Pangody,RU,2021-10-23 00:59:17,65.85,74.4859,270.75,91,99,4.43
66,Berlevag,NO,2021-10-23 00:59:18,70.8578,29.0864,274.16,63,100,8.21
